#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:50450/noxml;302;Found;;4
2;GET;http://localhost:50450/noxml/;302;Found;;4
3;GET;http://localhost:50450/noxml/home;302;Found;;4
4;GET;http://localhost:50450/noxml/login;200;OK;text/html;8
5;GET;http://localhost:50450/noxml/passwordHint?username=admin;302;Found;;215
6;GET;http://localhost:50450/noxml;302;Found;;2
7;GET;http://localhost:50450/noxml/;302;Found;;4
8;GET;http://localhost:50450/noxml/home;302;Found;;5
9;GET;http://localhost:50450/noxml/login;200;OK;text/html;14
